,Si,Fe,Ti,Cr,V,Al,Zr,W,Mo,Nb,Sn,Ta
668,0.6,0.0,91.4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
669,0.0,0.0,90.9,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
677,0.0,0.5,92.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680,0.0,0.0,91.5,3.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
681,0.0,0.0,90.8,8.5,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
696,0.0,0.0,82.1,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4
698,0.0,0.0,95.7,4.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
700,0.0,0.0,82.7,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8
702,0.0,0.0,83.0,0.0,16.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
714,0.0,0.0,78.5,0.0,0.0,0.0,0.0,0.0,13.5,0.0,8.0,0.0
717,0.0,1.5,92.5,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
721,0.0,0.0,86.9,0.0,0.0,0.0,0.0,0.1,13.0,0.0,0.0,0.0
728,0.0,0.0,90.0,8.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
731,0.0,0.0,90.5,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
733,0.0,0.5,96.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
752,0.0,0.0,85.5,0.0,13.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
757,0.0,0.0,94.4,5.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
775,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,2.5,0.0
776,0.8,4.0,95.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
779,0.0,0.0,84.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
782,0.0,0.0,80.0,0.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
785,0.0,0.0,87.9,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
792,0.0,4.5,95.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
793,0.0,2.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
800,0.0,0.0,90.2,0.0,9.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0
801,0.0,0.0,80.3,0.0,19.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0
808,0.1,0.0,86.4,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
813,0.0,0.0,76.1,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.9
816,0.0,0.0,89.5,2.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820,0.8,3.5,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824,0.0,0.0,93.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
827,0.6,0.0,89.9,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840,0.0,0.0,89.7,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.3
845,0.0,0.0,90.2,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3
850,0.0,3.5,90.5,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
851,0.0,4.5,95.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
860,0.0,0.0,91.5,4.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
862,0.0,0.0,80.9,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
874,0.0,0.0,87.5,0.0,11.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0
878,0.0,0.0,90.2,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.8
884,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.5,11.5,0.0,0.0,0.0
897,0.0,0.0,93.6,5.5,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
901,0.0,0.0,94.7,4.5,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
905,0.0,0.0,81.6,0.0,17.5,0.0,0.0,0.9,0.0,0.0,0.0,0.0
909,0.0,0.0,91.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
916,0.5,0.0,87.5,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
920,0.0,0.0,91.4,8.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
922,0.0,0.0,84.2,0.0,15.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
923,0.3,3.5,96.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
927,0.0,0.0,73.5,0.0,16.5,0.0,0.0,0.0,0.0,0.0,10.0,0.0
939,0.0,0.0,80.5,0.0,15.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0
940,0.0,0.0,95.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
951,0.9,0.0,84.6,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
954,0.0,0.0,92.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
956,0.9,0.0,92.6,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
958,0.0,0.0,87.4,0.0,12.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
964,0.0,0.0,81.0,0.0,17.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0
974,0.0,0.0,89.5,1.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
979,0.6,0.0,91.9,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
984,0.0,4.0,95.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
989,0.2,0.0,86.8,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
996,0.0,0.0,76.5,0.0,0.0,0.0,0.0,0.0,0.5,23.0,0.0,0.0
997,0.9,0.0,90.1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1007,0.9,0.0,92.1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1013,0.0,0.0,89.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0
1017,0.0,0.0,85.5,0.0,0.0,0.0,0.0,0.0,4.0,10.5,0.0,0.0
1019,0.0,0.0,88.7,0.0,0.0,0.0,0.0,0.8,10.5,0.0,0.0,0.0
1021,0.0,0.0,88.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024,0.0,0.0,79.5,0.0,14.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0
1025,0.0,4.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1029,0.0,0.0,94.2,5.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
1038,0.0,0.0,92.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
1047,0.0,0.0,81.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0
1050,0.0,0.0,84.5,0.0,0.0,0.0,0.0,0.0,9.5,6.0,0.0,0.0
1059,0.0,0.5,83.5,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1064,0.0,0.0,81.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1067,0.0,0.0,78.0,0.0,19.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0
1088,0.0,1.0,88.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1090,0.0,0.0,75.5,0.0,0.0,0.0,0.0,0.5,0.0,24.0,0.0,0.0
1098,0.0,1.5,76.5,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0
1103,0.0,0.0,77.7,0.0,0.0,0.0,0.0,0.3,0.0,22.0,0.0,0.0
1107,0.0,0.0,81.3,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1111,0.0,0.0,75.9,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,0.6
1118,0.0,0.0,95.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1124,0.0,2.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
1127,0.0,0.0,91.0,4.5,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0
1146,0.0,0.0,89.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0
1148,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,8.0,0.0
1152,0.0,0.0,85.5,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1155,0.9,3.5,95.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1156,0.3,0.0,85.7,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1162,0.0,0.0,79.2,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
1164,0.0,2.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
1168,0.0,0.0,78.5,0.0,0.0,0.0,7.0,0.0,14.5,0.0,0.0,0.0
1173,0.0,0.0,79.5,0.0,0.0,0.0,7.0,0.0,13.5,0.0,0.0,0.0
1176,0.5,0.0,88.5,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
1191,0.0,0.0,87.7,0.0,0.0,0.0,0.0,0.3,12.0,0.0,0.0,0.0
1199,0.4,0.0,87.1,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0
1202,0.0,2.5,92.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0
1207,0.0,0.0,94.0,5.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
1215,0.0,3.5,94.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
1220,0.0,0.0,75.5,0.0,0.0,0.0,0.0,0.0,6.5,18.0,0.0,0.0
1230,0.0,3.0,93.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1231,0.0,0.0,80.5,0.0,0.0,0.0,0.0,0.0,11.0,0.0,8.5,0.0
1259,0.0,0.0,87.7,0.0,12.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
1270,0.0,0.0,93.0,5.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
1278,0.0,0.0,88.6,0.0,0.0,0.0,0.0,0.9,10.5,0.0,0.0,0.0
1279,0.0,4.0,95.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
1282,0.0,4.0,95.7,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
1288,0.0,4.5,90.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
1304,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,7.0,0.0
1310,0.0,0.0,91.6,8.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
1311,0.0,0.0,92.0,2.5,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0
1315,0.0,3.5,94.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1322,0.0,0.0,86.5,0.0,10.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0
1331,0.0,3.5,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
1338,0.0,0.0,94.4,5.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
1339,0.0,0.0,81.8,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7
1346,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.5,0.0
1347,0.0,0.0,88.6,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.4
1350,0.0,0.0,87.0,0.0,11.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0
1372,0.0,3.0,95.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1376,0.0,0.0,94.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1379,0.0,0.0,77.0,0.0,20.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0
1380,0.2,0.0,88.3,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0
1386,0.0,0.0,84.5,0.0,11.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0
1390,0.0,0.0,82.0,0.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1392,0.3,0.0,90.2,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0
1395,0.7,4.0,95.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1397,0.0,1.5,88.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1399,0.0,0.0,77.5,0.0,0.0,0.0,0.0,0.0,14.5,0.0,8.0,0.0
1402,0.0,0.0,73.8,0.0,0.0,0.0,0.0,0.2,0.0,26.0,0.0,0.0
1406,0.0,4.0,94.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
1407,0.5,0.0,87.5,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1411,0.0,0.0,90.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0
1418,0.0,4.0,95.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1419,0.0,3.0,94.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
1421,0.0,0.0,80.6,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9
1429,0.0,0.0,90.2,0.0,9.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
1430,0.0,0.0,86.7,0.0,0.0,0.0,0.0,0.3,13.0,0.0,0.0,0.0
1432,0.0,0.0,88.4,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.1
1434,0.0,3.0,95.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0
1435,0.0,0.0,82.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
1439,0.0,0.0,86.5,0.0,10.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0
1443,0.9,0.0,89.6,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1447,0.0,0.0,89.4,0.0,10.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
1449,0.0,0.0,74.5,0.0,0.0,0.0,0.0,0.0,1.0,24.5,0.0,0.0
1452,0.0,0.0,89.1,0.0,0.0,0.0,0.0,0.9,10.0,0.0,0.0,0.0
1453,0.0,0.0,84.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
